stop_id,lat,lon
MetroNet.622,-32.97100067138672,151.60450744628906
MetroNet.618,-33.141571044921875,151.48155212402344
MetroNet.307,-32.92021179199219,151.75100708007812
MetroNet.327,-32.92316818237305,151.73443603515625
MetroNet.283,-33.22218322753906,151.47604370117188
MetroNet.619,-33.141578674316406,151.4815216064453
MetroNet.620,-33.01298904418945,151.54234313964844
MetroNet.284,-33.16600036621094,151.48599243164062
MetroNet.326,-32.93143081665039,151.72340393066406
MetroNet.616,-33.179779052734375,151.48707580566406
MetroNet.562,-33.10887145996094,151.48828125
MetroNet.286,-33.018348693847656,151.52786254882812
MetroNet.617,-33.18117141723633,151.48707580566406
MetroNet.632,-32.933528900146484,151.7203826904297
MetroNet.447,-33.083003997802734,151.50123596191406
MetroNet.282,-33.22222900390625,151.47613525390625
MetroNet.285,-33.17182159423828,151.48638916015625
MetroNet.630,-32.941280364990234,151.69927978515625
MetroNet.614,-33.24721908569336,151.44900512695312
MetroNet.446,-33.069068908691406,151.50564575195312
MetroNet.230,-33.285430908203125,151.42526245117188
MetroNet.287,-33.018680572509766,151.527587890625
MetroNet.621,-33.0128288269043,151.54086303710938
MetroNet.444,-33.289390563964844,151.4244842529297
MetroNet.295,-32.93782043457031,151.64907836914062
MetroNet.231,-33.285118103027344,151.42529296875
MetroNet.561,-33.1096305847168,151.4870147705078
MetroNet.626,-32.94255828857422,151.62440490722656
MetroNet.445,-33.27029037475586,151.43191528320312
MetroNet.1851,-33.49272155761719,150.22975158691406
MetroNet.306,-32.920230865478516,151.7509765625
MetroNet.304,-32.91925048828125,151.74952697753906
MetroNet.615,-33.24782943725586,151.4481658935547
MetroNet.624,-32.962059020996094,151.6040802001953
MetroNet.292,-32.972999572753906,151.59124755859375
MetroNet.1853,-33.48381042480469,150.20965576171875
MetroNet.623,-32.97193908691406,151.6051025390625
MetroNet.312,-32.9173583984375,151.7423095703125
MetroNet.625,-32.96297073364258,151.60269165039062
MetroNet.288,-32.919830322265625,151.73895263671875
MetroNet.1855,-33.47121047973633,150.1954345703125
MetroNet.693,-33.47990036010742,150.16015625
MetroNet.627,-32.942779541015625,151.62307739257812
MetroNet.559,-33.478919982910156,150.1640625
MetroNet.294,-32.937679290771484,151.6480712890625
MetroNet.629,-32.94118881225586,151.66253662109375
MetroNet.655,-33.47121047973633,150.1954345703125
MetroNet.628,-32.94239044189453,151.66331481933594
MetroNet.653,-33.48381042480469,150.20965576171875
MetroNet.651,-33.49272155761719,150.22975158691406
MetroNet.290,-32.92280960083008,151.73471069335938
MetroNet.507,-32.916988372802734,151.74276733398438
MetroNet.305,-32.91828155517578,151.7483367919922
MetroNet.731,-33.47718048095703,150.24447631835938
MetroNet.650,-33.4780387878418,150.2453155517578
MetroNet.652,-33.49277877807617,150.22982788085938
MetroNet.229,-33.28514862060547,151.4254608154297
MetroNet.654,-33.48384094238281,150.20968627929688
MetroNet.656,-33.471168518066406,150.19546508789062
MetroNet.325,-32.92399597167969,151.75889587402344
MetroNet.1312,-32.91701126098633,151.74278259277344
MetroNet.1288,-32.91978073120117,151.7388916015625
MetroNet.328,-32.92314910888672,151.73440551757812
MetroNet.1832,-32.933528900146484,151.7203826904297
MetroNet.1830,-32.941280364990234,151.69927978515625
MetroNet.1828,-32.94239044189453,151.66331481933594
MetroNet.1294,-32.93684005737305,151.6381378173828
MetroNet.1826,-32.94255828857422,151.62440490722656
MetroNet.1824,-32.962059020996094,151.6040802001953
MetroNet.1822,-32.97100067138672,151.60450744628906
MetroNet.1820,-33.01298904418945,151.54234313964844
MetroNet.1286,-33.01927947998047,151.52723693847656
MetroNet.235,-32.92448043823242,151.73277282714844
MetroNet.1562,-33.10649108886719,151.4954376220703
MetroNet.1818,-33.141571044921875,151.48155212402344
MetroNet.1284,-33.16600036621094,151.48599243164062
MetroNet.1285,-33.17182159423828,151.48638916015625
MetroNet.1816,-33.179779052734375,151.48707580566406
MetroNet.1814,-33.24721908569336,151.44900512695312
MetroNet.1445,-33.27029037475586,151.43191528320312
MetroNet.1444,-33.289390563964844,151.4244842529297
MetroNet.631,-32.9413948059082,151.69842529296875
MetroNet.633,-32.934078216552734,151.71957397460938
MetroNet.694,-33.479801177978516,150.1603240966797
MetroNet.1812,-33.30693817138672,151.4203643798828
MetroNet.1290,-32.920448303222656,151.7380828857422
MetroNet.329,-32.923038482666016,151.73428344726562
MetroNet.302,-32.99013900756836,151.57327270507812
MetroNet.300,-32.999881744384766,151.56314086914062
MetroNet.293,-32.97296142578125,151.59149169921875
MetroNet.1156,-33.48146057128906,150.15362548828125
MetroNet.1561,-33.108341217041016,151.49078369140625
MetroNet.1559,-33.478919982910156,150.1640625
MetroNet.506,-32.91572952270508,151.74554443359375
MetroNet.1728,-32.92742156982422,151.72840881347656
